id,seperator,Key,Value,Count,w,Description,battleArea,spawnPoint,treasureReward,restingArea,questGiver,walkable
access_designated,_,access,designated,"26 211
0.15%",,A way marked for a particular use. Only used with a specific mode of transport!,1,1,1,1,1,1
access_unknown,_,access,unknown,"23 211
0.13%",,The access conditions are unknown or unclear and indicates that survey is necessary.,,,,,,
access_delivery,_,access,delivery,"20 480
0.12%",,Access only when delivering,,,,,,
wall_no,_,wall,no,"12 169 145
97.11%",,slight construction like a shed or balcony opened on one side at least or without foundation,,,,,,
wall_dry_stone,_,wall,dry_stone,"204 815
1.63%",,A dry stone wall is a wall constructed from stones without mortar to bind them together.,,,,,,
wall_yes,_,wall,yes,"56 691
0.45%",,,,,,,,
wall_noise_barrier,_,wall,noise_barrier,"26 320
0.21%",,a wall which protects against noise on one of its sides,,,,,,
wall_brick,_,wall,brick,"25 886
0.21%",,A brick wall is a wall constructed from bricks and mortar.,,,,,,
wall_stone,_,wall,stone,"20 211
0.16%",,A stone wall is a wall constructed from stones and mortar.,,,,,,
place_hamlet,_,place,hamlet,"1 827 743
22.97%",,"A smaller rural community, typically with fewer than 100-200 inhabitants, and little infrastructure.",,,,,,
place_locality,_,place,locality,"1 677 599
21.09%",,A named place that has no population.,8,6,6,6,5,2
place_village,_,place,village,"1 531 795
19.25%",,"A smaller distinct settlement, smaller than a town with few facilities available with people traveling to nearby towns to access these.",,,,,,
place_isolated_dwelling,_,place,isolated_dwelling,"673 630
8.47%",,The smallest kind of settlement (1-2 households).,,,,,,
place_islet,_,place,islet,"435 519
5.47%",,A very small island.,,,,,,
place_plot,_,place,plot,"427 026
5.37%",,A named plot is a tract or parcel of land owned or meant to be owned by some owner.,0.1,0.1,0.1,0.1,0.1,0.1
place_neighbourhood,_,place,neighbourhood,"402 060
5.05%",,"A neighbourhood is a smaller named, geographically localised place within a suburb of a larger city or within a town or village",,,,,,
place_farm,_,place,farm,"235 894
2.96%",,An individually named farm.,,,,,,
place_suburb,_,place,suburb,"139 790
1.76%",,A part of a town or city with a well-known name and often a distinct identity.,,,,,,
place_quarter,_,place,quarter,"133 133
1.67%",,"A quarter is a named, geographically localised place within a suburb of a larger city or within a town which is bigger than a neighbourhood",,,,,,
place_town,_,place,town,"121 737
1.53%",,"An important urban centre, between a village and a city in size.",,,,,,
place_island,_,place,island,"111 918
1.41%",,Any piece of land that is completely surrounded by water and isolated from other significant landmasses.,,,,,,
place_city_block,_,place,city_block,"83 703
1.05%",,"A named city block, usually surrounded by streets.",,,,,,
place_square,_,place,square,"71 177
0.89%",,"A town or village square: a (typically) paved open space, generally of architectural significance, which is surrounded by buildings in a built-up area such as a city, town or village.",10,10,6,7,10,10
crossing_marked,_,crossing,marked,"2 411 818
34.99%",,"A generic crossing with no traffic-signals of any type, just road markings",0,0,0,0,0,5
crossing_unmarked,_,crossing,unmarked,"1 497 953
21.73%",,Pedestrian crossings without road markings or traffic signals,0,0,0,0,0,4
crossing_uncontrolled,_,crossing,uncontrolled,"1 379 360
20.01%",,"A generic crossing with road markings, but no traffic-signals of any type",0,0,0,0,0,3
crossing_traffic_signals,_,crossing,traffic_signals,"1 013 722
14.71%",,Traffic light controlled pedestrian crossings,0,0,0,0,0,6
crossing_zebra,_,crossing,zebra,"511 013
7.41%",,A zebra crossing,0,0,0,0,0,6
foot_yes,_,foot,yes,"3 575 007
56.50%",,Roads and other objects where the public has a legally-enshrined right for access on foot,2,3,2,2,2,10
foot_designated,_,foot,designated,"1 549 270
24.49%",,A preferred or designated route for pedestrians.,2,3,2,2,2,10
foot_no,_,foot,no,"752 537
11.89%",,Access on foot or by pedestrians is prohibited,0,0,0,0,0,0
foot_use_sidepath,_,foot,use_sidepath,"161 132
2.55%",,Use compulsory parallel footpath instead,,,,,,
foot_permissive,_,foot,permissive,"136 536
2.16%",,Access by pedestrians is permitted but permission may be withdrawn at any time.,0,0,0,0,0,0
foot_private,_,foot,private,"84 408
1.33%",,"indicates that walking is not allowed for general public, but the owner may make exceptions at will.",0,0,0,0,0,0
foot_destination,_,foot,destination,"26 645
0.42%",,"Transit traffic forbidden for pedestrians, non-transit to a local destination allowed.",0,0,0,0,0,0
man_made_pier,_,man_made,pier,"569 704
9.88%",,"A pier is a raised walkway over water, supported by widely spread piles or pillars.",2,2,2,2,2,3
man_made_storage_tank,_,man_made,storage_tank,"553 476
9.60%",,A container that holds liquids or compressed gases,,,,,,
man_made_tower,_,man_made,tower,"370 693
6.43%",,A tower is a free-standing structure which is higher than it is wide.,1,1,3,1,3,0.7
man_made_survey_point,_,man_made,survey_point,"368 163
6.38%",,"A triangulation pillar, geodetic vertex, or other piece of fixed equipment used by topographers.",,,,,,
man_made_cutline,_,man_made,cutline,"307 675
5.34%",,A straight line cut in a forest.,,,,,,
man_made_pipeline,_,man_made,pipeline,"257 229
4.46%",,"A major pipeline carrying gas, water, oil, etc.",,,,,,
man_made_silo,_,man_made,silo,"235 963
4.09%",,"A storage container for bulk material, often grains such as corn or wheat",,,,,,
man_made_mast,_,man_made,mast,"230 801
4.00%",,"A mast is a vertical structure built to hold, for example, antennas.",,,,,,
man_made_manhole,_,man_made,manhole,"209 976
3.64%",,"Hole with a cover that allows access to an underground service location, just large enough for a human to climb through",,,,,,
man_made_works,_,man_made,works,"202 337
3.51%",,A factory or industrial production plant,,,,,,
man_made_embankment,_,man_made,embankment,"191 667
3.32%",,An artificial steep slope,,,,,,
man_made_bridge,_,man_made,bridge,"174 717
3.03%",,"The outline of a bridge, grouping together all features for that bridge.",,,,,,
man_made_petroleum_well,_,man_made,petroleum_well,"173 413
3.01%",,"A hole bored in the earth, designed to bring petroleum oil or gas to the surface",,,,,,
man_made_surveillance,_,man_made,surveillance,"173 094
3.00%",,A surveillance camera or other type of surveillance equipment.,,,,,,
man_made_water_well,_,man_made,water_well,"168 121
2.92%",,"A structural facility to access ground water, created by digging or drilling.",,,,,,
man_made_street_cabinet,_,man_made,street_cabinet,"136 103
2.36%",,A cabinet located in the street and hosting technical equipment to operate facilities such as electricity or street lights.,,,,,,
man_made_water_tower,_,man_made,water_tower,"134 520
2.33%",,Structure with a water tank at an altitude to increase pressure in water network,,,,,,
man_made_utility_pole,_,man_made,utility_pole,"134 272
2.33%",,"A single pole supporting elevation of any of various and unspecified public utilities, such as power transmission, lighting or telephony.",,,,,,
man_made_flagpole,_,man_made,flagpole,"100 156
1.74%",,A long pole built to hold a flag,,,,,,
man_made_chimney,_,man_made,chimney,"84 677
1.47%",,"A tall distinctive vertical conduit for venting hot gases or smoke, normally found near power stations or large factories",,,,,,
man_made_wastewater_plant,_,man_made,wastewater_plant,"74 411
1.29%",,A wastewater plant is a facility used to treat wastewater.,,,,,,
man_made_beehive,_,man_made,beehive,"50 884
0.88%",,Beehive,,,,,,
man_made_breakwater,_,man_made,breakwater,"47 259
0.82%",,A man-made structure designed to protect a shore or harbour from the sea and waves.,,,,,,
man_made_reservoir_covered,_,man_made,reservoir_covered,"45 283
0.79%",,A covered reservoir is a large man-made tank for holding fresh water,,,,,,
man_made_bunker_silo,_,man_made,bunker_silo,"45 003
0.78%",,An open-sided structure without a roof that can be used with vehicles to fill and empty them,,,,,,
man_made_clearcut,_,man_made,clearcut,"41 890
0.73%",,An area where all trees have been uniformly cut down.,,,,,,
man_made_groyne,_,man_made,groyne,"36 208
0.63%",,A rigid structure built from a shoreline or riverbank that interrupts water flow and limits the movement of sediment,,,,,,
man_made_monitoring_station,_,man_made,monitoring_station,"34 451
0.60%",,A station that monitors something.,,,,,,
man_made_water_works,_,man_made,water_works,"32 628
0.57%",,A facility where water is treated to make it suitable for human consumption.,,,,,,
man_made_kiln,_,man_made,kiln,"29 889
0.52%",,"A thermally insulated chamber used for processes such as burning, hardening, drying, or smelting",,,,,,
man_made_antenna,_,man_made,antenna,"26 837
0.47%",,An antenna to transmit and/or receive wireless signals.,,,,,,
man_made_water_tap,_,man_made,water_tap,"25 022
0.43%",,Publicly usable water tap,,,,,,
man_made_dyke,_,man_made,dyke,"23 352
0.40%",,An embankment built to restrict the flow of water or other liquids,,,,,,
man_made_courtyard,_,man_made,courtyard,"21 788
0.38%",,An area that is usually enclosed by walls or buildings,,,,,,
man_made_pumping_station,_,man_made,pumping_station,"19 817
0.34%",,Pumping station: a facility including pumps and equipment for pumping fluids from one place to another,,,,,,
man_made_gasometer,_,man_made,gasometer,"18 895
0.33%",,A large container in which natural gas or town gas is stored near atmospheric pressure at ambient temperatures,,,,,,
man_made_cross,_,man_made,cross,"18 366
0.32%",,"Cross, especially one with little historical value",,,,,,
man_made_yes,_,man_made,yes,"18 211
0.32%",,,,,,,,
man_made_crane,_,man_made,crane,"16 235
0.28%",,"A stationary, permanent crane.",,,,,,
man_made_adit,_,man_made,adit,"15 625
0.27%",,A type of entrance to an underground mine which is horizontal or nearly horizontal.,,,,,,
man_made_mineshaft,_,man_made,mineshaft,"13 903
0.24%",,A mineshaft: vertical tunnel into a mine where minerals are extracted.,,,,,,
man_made_advertising,_,man_made,advertising,"13 818
0.24%",,A generic advertising device,,,,,,
man_made_lighthouse,_,man_made,lighthouse,"13 079
0.23%",,Tower that emits light to serve as a navigational aid at sea or on inland waterway,,,,,,
man_made_goods_conveyor,_,man_made,goods_conveyor,"12 621
0.22%",,A conveyor system for transporting materials,,,,,,
man_made_lamp,_,man_made,lamp,"11 801
0.20%",,"A lamp, which may be a street lamp, a floodlight, a signal lamp or any other type of lamp.",,,,,,
man_made_gantry,_,man_made,gantry,"11 543
0.20%",,"An overhead structure across a major road usually for holding signs, often variable-message signs.",,,,,,
man_made_windmill,_,man_made,windmill,"11 471
0.20%",,"A traditional windmill, historically used to mill grain with wind power.",,,,,,
man_made_watermill,_,man_made,watermill,"10 358
0.18%",,A mill driven by water power.,,,,,,
man_made_beacon,_,man_made,beacon,"9 267
0.16%",,A structure for signalling on land and sea,,,,,,
man_made_dolphin,_,man_made,dolphin,"9 067
0.16%",,A marine structure for berthing and mooring of vessels.,,,,,,
man_made_cairn,_,man_made,cairn,"7 992
0.14%",,"A mound of stones, usually conical or pyramidal, raised as a landmark or to designate a point of importance in surveying.",,,,,,
man_made_planter,_,man_made,planter,"7 448
0.13%",,A raised structure for planting flowers or other ornamental plants,,,,,,
man_made_tar_kiln,_,man_made,tar_kiln,"7 222
0.13%",,,,,,,,
man_made_torii,_,man_made,torii,"7 060
0.12%",,The gate structure found at the entrance of Shinto shrines and (rarely) Japanese Buddhist temples.,,,,,,
man_made_avalanche_protection,_,man_made,avalanche_protection,"7 031
0.12%",,A feature to protect from avalanches or to keep them from going off.,,,,,,
man_made_snow_fence,_,man_made,snow_fence,"5 837
0.10%",,A fence-like structure built to redirect drifting snow,,,,,,
man_made_geoglyph,_,man_made,geoglyph,"5 679
0.10%",,Large design or motif produced on the ground and typically formed by clastic rocks or similarly durable elements of the landscape.,,,,,,
footway_sidewalk,_,footway,sidewalk,"3 335 335
57.92%",,Sidewalks as separate ways,0.1,0.1,0.1,0.1,0.1,2
footway_crossing,_,footway,crossing,"2 364 104
41.05%",,Specifies that the footway is a road crossing,0,0,0,0,0,2
footway_access_aisle,_,footway,access_aisle,"35 616
0.62%",,"Marked footpath in a parking lot, typically between two parking spaces, to facilitate access to parked vehicles.",0,0,0,0,0,2
footway_link,_,footway,link,"7 468
0.13%",,,0,0,0,0,0,2
footway_traffic_island,_,footway,traffic_island,"4 340
0.08%",,,0,0,0,0,0,2
footway_path,_,footway,path,"2 577
0.04%",,Meaning unclear.,0,0,0,0,0,2
water_pond,_,water,pond,"1 640 251
43.04%",,"A small body of standing water, man-made in most cases",0,0,0,0,0,0
water_lake,_,water,lake,"856 028
22.46%",,A natural or semi-natural body of relatively still fresh or salt water which is surrounded by land.,0,0,0,0,0,0
water_reservoir,_,water,reservoir,"505 782
13.27%",,An artificial lake which may be used to store water. Usually formed by a dam over a natural water course.,0,0,0,0,0,0
water_river,_,water,river,"384 868
10.10%",,The water covered area of a river,0,0,0,0,0,0
water_basin,_,water,basin,"149 289
3.92%",,An area of land artificially graded to hold water.,0,0,0,0,0,0
water_wastewater,_,water,wastewater,"65 429
1.72%",,A clarifier or settling basin of a wastewater treatment plant.,0,0,0,0,0,0
water_canal,_,water,canal,"56 319
1.48%",,The area covered by the water of a canal,0,0,0,0,0,0
water_stream,_,water,stream,"40 040
1.05%",,The water covered area of a stream: a naturally-formed watercourse which is narrower than a river,0,0,0,0,0,0
water_oxbow,_,water,oxbow,"32 520
0.85%",,An oxbow lake,0,0,0,0,0,0
water_ditch,_,water,ditch,"20 517
0.54%",,The water covered area of a waterway=ditch - a simple artificial waterway serving as a barrier or for draining surrounding land.,0,0,0,0,0,0
entrance_yes,_,entrance,yes,"1 853 143
56.84%",,An entrance of a building,1,8,2,0.1,8,7
entrance_main,_,entrance,main,"654 833
20.09%",,The main entrance of a building,1,9,2,0.1,10,8
entrance_staircase,_,entrance,staircase,"435 063
13.34%",,A staircase entrance,1,8,3,0.1,7,3
entrance_home,_,entrance,home,"155 996
4.78%",,,,,,,,
entrance_garage,_,entrance,garage,"51 738
1.59%",,A garage door,,,,,,
entrance_service,_,entrance,service,"50 197
1.54%",,,,,,,,
entrance_shop,_,entrance,shop,"18 615
0.57%",,A direct public entrance to a shop which is not a main building entrance,,,,,,
entrance_emergency,_,entrance,emergency,"16 216
0.50%",,,,,,,,
entrance_exit,_,entrance,exit,"9 391
0.29%",,"It is not an entrance, it is a one-way out of a building. You find it at some greater shops or museums.",,,,,,
entrance_secondary,_,entrance,secondary,"7 159
0.22%",,Secondary entrance used for events,,,,,,
entrance_gate,_,entrance,gate,"1 660
0.05%",,,3,8,2,0.1,10,6
tourism_information,_,tourism,information,"949 839
32.86%",,"Information for tourists and visitors, including information offices",1,7,8,0.1,6,0.8
tourism_hotel,_,tourism,hotel,"386 348
13.37%",,Hotel - an establishment that provides paid lodging,,,,,,
tourism_attraction,_,tourism,attraction,"217 128
7.51%",,"An object of interest for a tourist, or a purpose-built tourist attraction",6,5,9,3,7,5
tourism_artwork,_,tourism,artwork,"211 125
7.30%",,A public piece of art.,4,8,8,4,7,1
tourism_viewpoint,_,tourism,viewpoint,"202 829
7.02%",,"A place worth visiting, often high, with a good view of surrounding countryside or notable buildings.",10,10,10,10,5,9
tourism_guest_house,_,tourism,guest_house,"161 302
5.58%",,"Accommodation smaller than a hotel and typically owner-operated, such as bed&breakfasts etc.",,,,,,
tourism_picnic_site,_,tourism,picnic_site,"146 084
5.05%",,"A locality that is suitable for outdoors eating, with facilities to aid a picnic such as tables and benches",5,7,8,10,5,9
tourism_camp_site,_,tourism,camp_site,"129 466
4.48%",,"An area where people can camp overnight using tents, camper vans or caravans.",9,10,8,10,9,9
tourism_museum,_,tourism,museum,"92 858
3.21%",,"A museum: an institution with exhibitions on scientific, historical, cultural topics",1,2,4,2,2,1
tourism_chalet,_,tourism,chalet,"71 357
2.47%",,A holiday cottage with self-contained cooking and bathroom facilities.,,,,,,
tourism_apartment,_,tourism,apartment,"65 643
2.27%",,A furnished apartment or flat with cooking and bathroom facilities that can be rented for holiday vacations.,,,,,,
tourism_camp_pitch,_,tourism,camp_pitch,"55 422
1.92%",,A tent or caravan pitch location within a campsite or caravan site,,,,,,
tourism_hostel,_,tourism,hostel,"52 974
1.83%",,Cheap accommodation with shared bedrooms.,,,,,,
tourism_motel,_,tourism,motel,"44 361
1.53%",,"Short term accommodation, particularly for people travelling by car.",,,,,,
tourism_caravan_site,_,tourism,caravan_site,"30 022
1.04%",,A place where you can stay in a caravan overnight or for longer periods.,,,,,,
tourism_alpine_hut,_,tourism,alpine_hut,"13 316
0.46%",,A remote building located in the mountains intended to provide board and lodging.,,,,,,
tourism_wilderness_hut,_,tourism,wilderness_hut,"12 377
0.43%",,"A remote building, with generally a fireplace, intended to provide temporary shelter and sleeping accommodation, typically un-serviced and with no staff.",,,,,,
tourism_gallery,_,tourism,gallery,"12 283
0.42%",,An area or building that displays a variety of visual art exhibitions.,,,,,,
tourism_theme_park,_,tourism,theme_park,"9 082
0.31%",,"An amusement park where entertainment is provided by rides, games, concessions.",,,,,,
tourism_yes,_,tourism,yes,"7 924
0.27%",,,4,4,4,3,4,4
tourism_zoo,_,tourism,zoo,"7 700
0.27%",,"A zoological garden, where animals are confined for viewing by the public.",,,,,,
tourism_trail_riding_station,_,tourism,trail_riding_station,"1 249
0.04%",,Trail riding station,,,,,,
tourism_aquarium,_,tourism,aquarium,"1 214
0.04%",,A facility with living aquatic animals for public viewing.,,,,,,
parking_surface,_,parking,surface,"1 931 679
80.78%",,A dedicated area for parking consisting of one level of parking on the ground,1,1,1,1,1,1
parking_street_side,_,parking,street_side,"245 435
10.26%",,Area suitable or designated for parking which is directly adjacent to the carriageway of a road and can be reached directly from the roadway without having to use an access way.,0.5,0.5,0.5,0.1,0.5,0.5
parking_underground,_,parking,underground,"89 022
3.72%",,Underground car park,0.8,1,1,1,0.5,0.8
parking_multi-storey,_,parking,multi-storey,"55 365
2.32%",,Multistorey car park,0.8,1,1,1,0.5,0.8
parking_lane,_,parking,lane,"37 633
1.57%",,"Parking on the carriageway, including partially on it.",0.2,0.2,0.2,0.1,0.2,0.2
parking_layby,_,parking,layby,"6 408
0.27%",,"Parking at a rest area, often rural, alongside a major road.",1,1,2,0.1,1,2
historic_memorial,_,historic,memorial,"313 867
19.59%",,"Small memorials, usually remembering special persons, people who lost their lives in the wars, past events or missing places.",6,10,10,8,10,3
historic_archaeological_site,_,historic,archaeological_site,"161 476
10.08%",,A place in which evidence of past activity is preserved.,6,5,9,6,7,1
historic_wayside_cross,_,historic,wayside_cross,"159 011
9.93%",,"A historical cross, symbol of christian faith.",2,7,7,3,8,2
historic_yes,_,historic,yes,"152 794
9.54%",,Used to add the historic significance of the objects described by other tags.,8,7,7,5,5,3
historic_ruins,_,historic,ruins,"137 395
8.58%",,"Remains of structures that were once complete, but have fallen into partial or complete disrepair.",4,4,4,8,3,1
historic_wayside_shrine,_,historic,wayside_shrine,"107 707
6.72%",,A shrine often showing a religious depiction. Tag is used also for modern shrines.,,,,,,
historic_monument,_,historic,monument,"69 190
4.32%",,"A memorial object, which is especially large, built to remember, show respect to a person or group of people or to commemorate an event.",6,9,9,6,8,1
historic_building,_,historic,building,"62 820
3.92%",,Unspecified historic building.,,,,,,
historic_boundary_stone,_,historic,boundary_stone,"54 691
3.41%",,A historic physical marker that identifies a boundary,,,,,,
historic_castle,_,historic,castle,"49 578
3.10%",,"Used for various kinds of castles, palaces, fortresses, manors, stately homes, kremlins, shiros and other.",10,6,10,3,7,6
historic_charcoal_pile,_,historic,charcoal_pile,"45 099
2.82%",,Historic site of a charcoal pile. Often still in good condition in hilly forest areas.,,,,,,
historic_tomb,_,historic,tomb,"44 932
2.81%",,A structure where somebody has been buried.,,,,,,
historic_shieling,_,historic,shieling,"21 493
1.34%",,An abandoned mountain pasture,2,3,5,2,3,1
historic_railway,_,historic,railway,"17 352
1.08%",,,,,,,,
historic_citywalls,_,historic,citywalls,"16 179
1.01%",,A citywall is a fortification used to defend a city.,,,,,,
historic_heritage,_,historic,heritage,"12 771
0.80%",,A building/area/site/monument officially recognized for its historic or cultural value.,,,,,,
historic_manor,_,historic,manor,"11 288
0.70%",,Historic manors/mansions having different use today,,,,,,
historic_bomb_crater,_,historic,bomb_crater,"11 060
0.69%",,A bomb crater,,,,,,
historic_mine,_,historic,mine,"10 476
0.65%",,Location of historic underground mine workings for minerals such as coal or lead.,,,,,,
historic_mine_shaft,_,historic,mine_shaft,"10 231
0.64%",,Vertical shafts of a historic mine,,,,,,
historic_church,_,historic,church,"8 568
0.53%",,A church with a historical value.,,,,,,
historic_no,_,historic,no,"8 286
0.52%",,,,,,,,
historic_milestone,_,historic,milestone,"6 354
0.40%",,A historic marker that shows the distance to important destinations,,,,,,
historic_fort,_,historic,fort,"6 116
0.38%",,"A military fort, a stand-alone defensive structure which differs from a castle in that there is no permanent residence",,,,,,
historic_city_gate,_,historic,city_gate,"5 877
0.37%",,A city gate within a city wall,,,,,,
historic_house,_,historic,house,"5 127
0.32%",,A historic house.,,,,,,
historic_hollow_way,_,historic,hollow_way,"4 688
0.29%",,"Is a path/way which has over time fallen significantly lower than the land on either side. They are created incrementally by erosion, by water and traffic.",,,,,,
historic_wreck,_,historic,wreck,"3 900
0.24%",,A nautical craft that has been sunk or destroyed.,,,,,,
historic_stone,_,historic,stone,"3 735
0.23%",,A stone shaped or placed by man with historical value.,,,,,,
historic_roman_road,_,historic,roman_road,"3 521
0.22%",,,,,,,,
historic_cannon,_,historic,cannon,"3 361
0.21%",,A historic/retired cannon. Usually found on forts or battlefields.,,,,,,
historic_aircraft,_,historic,aircraft,"3 223
0.20%",,A decommissioned aircraft which generally remains in one place.,,,,,,
historic_farm,_,historic,farm,"2 622
0.16%",,"A historical farm, kept in its original state.",,,,,,
historic_bunker,_,historic,bunker,"2 585
0.16%",,,,,,,,
historic_tower,_,historic,tower,"2 315
0.14%",,This property distinguishes a tower as historic,,,,,,
historic_monastery,_,historic,monastery,"2 260
0.14%",,Building/place that is a historically significant monastery.,,,,,,
information_guidepost,_,information,guidepost,"463 435
50.17%",,Used to mark a guidepost/signpost,4,7,8,6,7,5
information_board,_,information,board,"273 206
29.57%",,An information board,1,2,4,2,8,2
information_map,_,information,map,"93 782
10.15%",,A board with a map,1,3,4,2,10,2
information_route_marker,_,information,route_marker,"36 327
3.93%",,"A marker that shows the position of the way of a route. Could be a symbol, a short pole or a painted marking.",1,2,1,1,3,5
wheelchair_yes,_,wheelchair,yes,"1 398 499
58.58%",,,4,4,4,2,4,9
wheelchair_no,_,wheelchair,no,"644 507
27.00%",,,0.8,0.8,0.8,0.8,0.8,2
wheelchair_limited,_,wheelchair,limited,"329 123
13.79%",,,2,2,2,1,2,4
sidewalk_both,_,sidewalk,both,"1 037 666
33.44%",,,0.7,0.7,0.7,0.1,0.7,3
sidewalk_no,_,sidewalk,no,"905 191
29.17%",,,0.1,0.1,0.1,0.1,0.1,0.1
sidewalk_right,_,sidewalk,right,"458 762
14.78%",,,0.7,0.7,0.7,0.1,0.7,3
sidewalk_none,_,sidewalk,none,"233 913
7.54%",,,0.1,0.1,0.1,0.1,0.1,0.1
lanes_2,_,lanes,lanes_2,"8 611 810
59.90%",,,0,0,0,0,0,0
lanes_1,_,lanes,lanes_1,"3 449 004
23.99%",,,,,,,,0.5
lanes_3,_,lanes,lanes_3,"1 397 740
9.72%",,,0,0,0,0,0,0
building_yes,_,building,yes,"430 841 007
80.29%",,A building of an unspecified type.,1,1,1,1,1,1
building_house,_,building,house,"49 004 484
9.13%",,A single dwelling unit usually inhabited by one family.,0,0,0,0,0,0
building_residential,_,building,residential,"14 599 119
2.72%",,A general tag for a building constructed primarily for residential purposes.,0,0,0,0,0,0
